ax,ay,az,gx,gy,gz
757,-65,1594,171,-1531,35
721,-62,1491,-309,-1882,-71
720,-51,1291,-435,-1431,-63
673,-67,1158,-111,-628,33
516,-28,1136,530,-906,108
651,11,957,678,2298,778
719,-34,820,131,2240,904
609,-26,833,-20,1724,419
637,-4,617,-55,1962,201
613,6,563,-206,-1626,-401
630,15,407,-168,-1804,-881
607,-4,425,363,1875,-789
643,-17,247,55,1764,-52
581,0,318,39,1046,1126
621,36,240,207,-1083,1610
640,43,219,80,-1543,1057
623,82,285,-29,129,192
614,89,340,104,-481,-96
647,123,263,102,-337,-280
625,91,325,-67,504,9
621,90,321,-6,133,25
613,88,324,72,-131,-8
586,92,458,370,-1920,-362
574,-2,641,-235,307,-914
621,-8,653,-131,-303,-536
668,-54,814,-223,99,-1534
610,59,1000,-332,937,-1220
656,-20,1248,-346,854,287
679,-2,1491,-204,-969,859
748,-34,1653,30,-2111,821
851,-99,1829,-127,-2320,231
942,27,2075,269,-1857,669
1037,-12,-2292,21,-1802,40
1176,29,-2076,-283,-1945,-113
1312,16,-1807,-894,-2295,13
1510,-44,-1697,-549,-2100,-247
1667,-20,-1424,-256,-1183,2
1857,4,-1353,1127,-508,753
1949,12,-1050,1205,-390,1097
2092,47,-872,593,-735,436
2315,70,-888,-649,-816,-532
-2212,94,-635,72,-706,-19
-2011,49,-521,-260,-1599,-144
-1821,-20,-319,-1623,-2222,-736
-1490,-20,-390,-1715,-2090,-800
-1225,-106,-415,-1023,-475,-356
-1105,-121,-44,-1224,-1311,-1
-815,-180,-169,-996,-1823,627
-579,-216,-96,-531,-643,468
-377,-210,-25,84,-1263,251
-105,-232,-167,1607,-176,-679
49,-127,-77,218,1671,-1172
176,-48,-41,-142,2056,-389
251,-135,-122,-496,-1379,176
255,-193,-46,-160,-438,-29
270,-113,45,101,-74,-92
270,-145,-26,44,167,-7
273,-150,-28,-17,-60,8
275,-134,-41,-16,153,-2
256,-145,41,-1,71,9
273,-149,-2,-92,-717,-17
302,-129,-49,-84,-155,16
292,-151,-27,8,285,-6
271,-163,-71,185,884,30
218,-107,-81,771,2112,-7
97,-113,13,70,-2110,56
20,-129,-41,94,-2166,1
-96,-111,-43,33,-2064,39
-244,-110,50,91,-1733,76
-329,-98,-65,76,-1970,49
-438,-106,-66,63,-1857,14
-575,-109,-178,-471,63,20
-847,-120,39,13,439,80
-990,-128,-175,-220,60,33
-1191,-130,-288,219,1200,144
-1439,-128,-214,158,508,118
-1587,-118,-423,139,142,88
-1799,-112,-426,51,449,84
-1964,-111,-541,-9,103,12
-2140,-106,-678,159,663,65
-2313,-105,-831,-129,875,-161
2153,-116,-855,67,779,6
2022,-88,-1089,273,288,191
1863,-91,-1198,516,288,419
1710,-58,-1296,399,399,345
1591,-45,-1503,227,-34,130
1474,-33,-1659,84,304,42
1340,8,-1821,108,1020,246
1204,18,-1932,280,381,670
1106,-31,-2072,293,-988,706
1098,44,2203,314,-163,203
955,82,2241,243,324,253
885,66,2054,269,-120,324
840,80,1826,243,-197,106
783,125,1635,356,300,385
723,175,1430,366,697,710
651,201,1311,542,622,1203
633,231,1093,328,-566,1082
622,225,954,194,-1306,735
625,244,802,147,-2211,-172
635,307,688,244,-2230,-138
619,263,595,254,2234,48
611,270,541,101,1725,17
616,268,453,164,1344,27
607,230,452,-192,1316,-107
621,268,374,-62,418,-30
618,256,366,18,74,62
629,259,340,15,118,160
626,261,332,12,-170,12
626,263,356,10,-152,1
625,261,365,72,-294,-12
619,265,383,141,-487,-2
612,281,448,-151,-1081,33
623,281,480,-457,-1779,31
628,242,499,5,-1488,82
614,259,628,106,-1287,-43
608,222,729,-148,2124,-593
628,279,774,-257,1738,-712
613,256,1002,-377,1013,-298
653,195,1075,-325,-71,152
678,186,1296,-129,294,-127
723,191,1432,-45,-99,-385
767,184,1632,-316,499,-598
816,175,1807,-430,222,-225
888,129,1889,-514,1091,-176
918,127,2107,-917,1420,-320
987,108,2219,-490,963,-2
1058,87,2282,54,1511,82
1103,115,-2229,296,2267,272
1112,85,-1995,-370,1380,93
1243,149,-2032,-78,566,376
1316,144,-1852,840,488,938
1392,107,-1681,555,-24,76
1555,218,-1631,-25,472,-210
1632,137,-1429,-682,995,-515
1734,134,-1311,-714,880,-544
1855,104,-1219,-645,599,-744
1979,69,-1142,-207,982,-552
2076,62,-995,-67,1260,-447
2179,35,-859,-47,793,-154
2306,33,-749,-112,278,-92
-2214,7,-678,-360,-541,-252
-2015,19,-585,-230,-638,-147
-1822,-1,-537,-133,-126,-99
-1673,-4,-372,-2,-114,-63
-1486,1,-309,631,-347,191
-1303,7,-233,-131,-271,-64
-1091,12,-195,-999,-514,-323
-893,-35,-191,-564,332,-121
-744,-43,-86,-81,622,-126
-569,-39,-141,-36,1473,-95
-477,-79,-60,1030,2327,27
-400,49,64,1429,2137,101
-243,62,-106,-122,1568,-65
-150,57,-74,-464,-1494,-22
-128,39,36,-1252,-1369,-67
-45,-72,4,-2027,-1801,-92
23,-90,-90,-268,-994,13
16,-93,41,-24,-418,-7
49,-91,-25,13,-209,-3
43,-91,29,-28,-261,-5
67,-86,-16,-46,-402,-5
78,-90,-36,-4,26,0
69,-93,-55,0,683,21
27,-92,-63,-203,1562,3
-32,-104,-131,-72,-2135,65
-201,-106,-44,135,-987,96
-369,-101,27,20,-1167,90
-476,-105,-78,-105,-1546,19
-629,-113,-43,-145,-952,70
-767,-116,-68,-113,-1381,18
-883,-134,-130,-291,-1701,9
-1010,-134,-176,-272,-1258,12
-1145,-142,-186,-9,-1359,60
-1272,-145,-205,76,-1816,76
-1371,-139,-302,113,-1545,59
-1490,-134,-443,170,-545,94
-1692,-128,-400,-313,47,-129
-1858,-156,-544,-179,410,-61
-2063,-142,-660,-51,1331,-78
-2278,-221,-673,-637,693,-464
2237,-154,-832,-496,29,-428
2116,-193,-977,-23,-340,15
1970,-204,-1114,205,107,119
1834,-186,-1257,172,301,63
